,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Antoine Griezmann,1.3,0.6,0.6,-,0.8,1.2,0.1,-
1,Karim Benzema,0.4,0.1,0.4,-,0.2,0.4,-,-
2,Robert Lewandowski,0.5,0.1,1.1,0.1,0.4,0.2,-,-
3,Vinícius Júnior,0.9,0.2,1.4,-,-,0.8,-,-
4,Rodrygo,0.5,0.2,0.5,-,0.1,0.6,-,-
5,Pedri,1.5,0.5,0.3,-,0.3,1.2,-,-
6,Joselu,0.4,0.2,0.7,-,1.2,0.4,0.1,-
7,Frenkie de Jong,1.4,1.1,1,0.1,0.6,0.7,-,-
8,Ousmane Dembélé,0.8,-,0.6,-,-,0.4,-,-
9,Mikel Merino,2.3,0.6,2.2,-,1.5,0.9,0.2,-
10,Lee Kang-In,1.2,0.3,1.4,-,0.1,1.2,0.1,-
11,Federico Valverde,0.9,0.5,0.3,-,0.4,0.4,0.1,-
12,Sergi Darder,1.8,0.6,0.8,-,0.6,1.2,0.1,-
13,Enes Ünal,0.7,0.2,1.7,0.1,1,0.5,0.1,-
14,Juan Foyth,3,0.8,1.7,0.4,2.4,0.7,0.5,-
15,Isi Palazón,1.2,0.5,1,-,0.7,1.1,0.1,-
16,Raphinha,0.8,0.4,0.6,-,0.3,0.6,-,-
17,Toni Kroos,1.7,0.8,0.9,-,0.2,1.5,0.1,-
18,Aleix García,1.2,1,0.5,-,0.9,0.6,0.3,-
19,Aurélien Tchouaméni,1.9,1.5,1.1,0.1,1.5,0.5,0.2,-
20,Conan Ledesma,0.1,0.1,-,-,1.5,0.1,-,-
21,Éder Militão,1.4,1.3,1.1,0.5,3,0.2,1.2,-
22,Vedat Muriqi,0.3,0.3,1.7,-,2.1,0.3,0.2,-
23,Sergio Busquets,1.9,0.9,1,-,1,0.7,0.2,-
24,Takefusa Kubo,1.3,0.3,1,-,0.1,0.6,-,-
25,Guido Rodríguez,3.4,1.2,1.3,-,2,1.4,0.4,1
26,José Gayà,2.6,0.7,0.4,0.2,1.3,1,0.3,-
27,Javi Galán,2.8,1.1,1.4,0.2,1.5,1.4,0.1,-
28,Jules Koundé,1.3,0.7,0.8,0.5,1.9,0.3,0.3,1
29,José Giménez,1.5,0.9,0.7,0.3,4.8,0.4,0.6,-
30,Dani Parejo,1.9,0.8,0.8,0.1,0.8,1.2,0.3,-
31,Marco Asensio,0.5,0.2,0.3,-,0.1,0.4,0.1,-
32,Thibaut Courtois,-,0.1,-,-,0.3,-,-,-
33,Gerard Moreno,0.5,0.2,0.5,-,0.5,0.1,0.1,-
34,Brais Méndez,1.7,0.4,1.8,-,0.4,1.2,0.1,-
35,Loïc Badé,1.4,1.2,0.7,0.5,3.9,0.7,0.7,-
36,Iago Aspas,0.2,0.2,0.4,-,0.6,0.5,-,-
37,Viktor Tsygankov,0.4,0.4,0.4,-,0.5,0.7,0.1,-
38,Ronald Araujo,1.2,0.5,0.7,1,1.8,0.1,0.3,1
39,Yeremy Pino,1.7,0.4,1.8,0.1,0.7,1,0.1,-
40,Lucas Robertone,1.4,1.2,0.9,0.1,1.1,1,0.2,-
41,Reinildo,3,1.4,1.5,-,2.4,0.5,0.5,-
42,Alejandro Balde,1.3,0.4,0.8,0.3,0.4,0.5,0.1,-
43,Nico Williams,0.9,0.2,0.6,-,0.2,0.6,0.1,-
44,Samuel Chukwueze,0.4,0.3,0.5,-,0.4,0.4,-,-
45,Antonio Raíllo,1.1,1,1.4,0.4,5.1,0.2,0.9,-
46,Nicolas Jackson,0.5,0.1,1.2,-,0.1,0.2,0.1,-
47,Ayoze Pérez,1.6,0.7,1.7,-,0.2,1.6,-,-
48,Marc-André ter Stegen,-,-,-,-,0.6,-,-,-
49,Yannick Carrasco,1,0.3,0.7,0.1,0.5,0.9,-,-
50,Alexander Sørloth,0.5,0.1,0.9,0.1,0.8,0.2,-,-
51,David Silva,1.3,0.5,1.1,-,0.6,0.3,0.1,-
52,Álvaro Morata,0.4,-,1.1,-,0.6,0.1,0.1,-
53,Aitor Fernández,-,0.1,-,-,1.4,-,-,-
54,André Almeida,1.9,0.6,0.9,-,0.4,0.9,-,-
55,David Soria,-,-,-,-,0.9,-,-,-
56,Gavi,1.3,0.5,2.1,0.1,0.6,0.9,0.1,-
57,Iñaki Williams,0.6,0.2,0.9,0.1,0.9,0.4,0.1,-
58,Jordi Masip,-,-,-,-,0.5,0.1,-,-
59,Giovani Lo Celso,1.5,0.3,0.7,-,0.1,0.4,0.1,-
60,Jordi Alba,1,0.5,0.5,0.2,0.6,0.7,0.2,-
61,Andreas Christensen,0.9,0.9,0.8,0.8,2,0.3,0.5,1
62,Álvaro García,1.4,1,1,-,0.5,0.6,0.1,-
63,Gabri Veiga,1.2,0.6,1.2,-,0.1,1,0.1,-
64,Samuel Lino,1.7,0.5,0.9,-,0.2,1.2,-,-
65,Juan Miranda,1.1,1,0.7,0.5,2.4,0.7,0.3,-
66,Marcos Llorente,1.5,0.8,1.4,-,0.8,0.6,0.1,-
67,Rodrigo De Paul,1.2,0.3,1.1,-,0.1,0.6,0.1,-
68,Pau Torres,1.3,0.4,0.6,0.6,4.1,0.4,0.8,1
69,Adri Embarba,1.7,0.3,0.8,-,0.2,0.8,-,-
70,Yuri Berchiche,1.9,1.4,1.1,0.4,1.7,0.9,0.4,-
