Name,Position,Date of Birth,Age,Nationality,Market Value
Nick Pope,Goalkeeper,,31,England,€20.00m
Martin Dúbravka,Goalkeeper,,34,Slovakia,€1.50m
Loris Karius,Goalkeeper,,30,Germany,€1.20m
Karl Darlow,Goalkeeper,,32,England,€1.00m
Mark Gillespie,Goalkeeper,,31,England,€300k
Sven Botman,Centre-Back,,23,Netherlands,€45.00m
Fabian Schär,Centre-Back,,31,Switzerland,€10.00m
Jamaal Lascelles,Centre-Back,,29,England,€4.50m
Paul Dummett,Centre-Back,,31,Wales,€1.00m
Federico Fernández,Centre-Back,,34,Argentina,€700k
Ciaran Clark,Centre-Back,,33,Ireland,€600k
Kell Watts,Centre-Back,,23,England,€300k
Matt Targett,Left-Back,,27,England,€13.00m
Dan Burn,Left-Back,,31,England,€10.00m
Jamal Lewis,Left-Back,,25,Northern Ireland,€6.00m
Kieran Trippier,Right-Back,,32,England,€11.00m
Emil Krafth,Right-Back,,28,Sweden,€3.00m
Javier Manquillo,Right-Back,,29,Spain,€2.50m
Harrison Ashby,Right-Back,,21,Scotland,€1.00m
Bruno Guimarães,Defensive Midfield,,25,Brazil,€70.00m
Isaac Hayden,Defensive Midfield,,28,England,€3.50m
Joelinton,Central Midfield,,26,Brazil,€42.00m
Joe Willock,Central Midfield,,23,England,€38.00m
Sean Longstaff,Central Midfield,,25,England,€25.00m
Elliot Anderson,Central Midfield,,20,Scotland,€8.00m
Jonjo Shelvey,Central Midfield,,31,England,€5.00m
Jeff Hendrick,Central Midfield,,31,Ireland,€1.50m
Matty Longstaff,Central Midfield,,23,England,€1.00m
Lewis Miley,Central Midfield,,17,England,-
Matt Ritchie,Right Midfield,,33,Scotland,€1.00m
Anthony Gordon,Left Winger,,22,England,€35.00m
Allan Saint-Maximin,Left Winger,,26,France,€32.00m
Ryan Fraser,Left Winger,,29,Scotland,€6.00m
Miguel Almirón,Right Winger,,29,Paraguay,€32.00m
Jacob Murphy,Right Winger,,28,England,€15.00m
Alexander Isak,Centre-Forward,,23,Sweden,€70.00m
Callum Wilson,Centre-Forward,,31,England,€16.00m
Chris Wood,Centre-Forward,,31,New Zealand,€8.00m
