,Rank,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,1,Kevin De Bruyne,Man City,32," M(CLR),FW",28(4),2425,7,16,1,-,2,80.8,0.4,9,7.58
1,2,Erling Haaland,Man City,23, FW,33(2),2779,36,8,5,-,3.5,74.8,1.4,6,7.54
2,3,Harry Kane,Tottenham,30," AM(C),FW",38,3408,30,3,6,-,3.4,72,1.7,8,7.51
3,4,Bruno Fernandes,Man Utd,29, M(CLR),37,3320,8,8,6,-,2.5,77.7,0.5,6,7.44
4,5,Gabriel Jesus,Arsenal,27," AM(LR),FW",24(2),2075,11,6,6,-,3,81.5,1.7,4,7.42
5,6,Kieran Trippier,Newcastle,33," D(LR),M(R)",38,3348,1,7,5,-,0.4,76,1.3,8,7.41
6,7,Bukayo Saka,Arsenal,22," D(L),M(CLR)",37(1),3195,14,11,6,-,2.3,80.9,0.4,4,7.40
7,8,Solly March,Brighton,29, M(CLR),31(2),2728,7,7,2,-,2.2,78.6,0.9,6,7.38
8,9,Jack Grealish,Man City,28," AM(CL),FW",23(5),2064,5,7,4,-,1.5,87.6,0.5,3,7.33
9,10,Martin Ødegaard,Arsenal,25, AM(CR),37,3149,15,7,4,-,2.5,84,0.4,7,7.29
10,11,Rodri,Man City,27," D(C),DMC",34(2),2921,2,6,5,-,1.4,91.3,2,3,7.26
11,12,Gabriel Martinelli,Arsenal,22," AM(L),FW",34(2),2806,15,5,3,-,2.2,82.4,0.4,4,7.25
12,13,Ivan Toney,Brentford,28, FW,33,2955,20,4,9,-,2.8,62,3.3,5,7.25
13,14,Joelinton,Newcastle,27," AM(CLR),FW",30(2),2664,6,1,12,-,1.6,82.3,2.1,3,7.25
14,15,James Maddison,Leicester,27, AM(CLR),28(2),2486,10,9,10,-,2.8,79.5,0.1,2,7.24
15,16,Bruno Guimarães,Newcastle,26, DMC,32,2735,4,5,7,-,0.9,84.6,0.6,1,7.21
16,17,Casemiro,Man Utd,32," D(C),DMC",24(4),2126,4,3,7,2,1.2,78.5,2,5,7.17
17,18,Mohamed Salah,Liverpool,31," AM(CLR),FW",37(1),3297,19,12,2,-,3.3,78.1,0.2,3,7.17
18,19,Phil Foden,Man City,23," AM(CLR),FW",22(10),1844,11,5,1,-,1.4,86.1,0.6,3,7.13
19,20,Ilkay Gündogan,Man City,33, M(C),27(4),2359,8,4,-,-,1.7,88.2,0.6,2,7.11
20,21,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",34(3),2932,2,9,5,-,1.1,78.7,0.5,2,7.11
21,22,Ethan Pinnock,Brentford,30, D(C),30,2700,3,-,-,-,0.5,80.2,3.5,2,7.11
22,23,Aleksandar Mitrovic,Fulham,29, FW,23(1),2015,14,1,7,-,3.9,60.5,4.2,4,7.08
23,24,Marcus Rashford,Man Utd,26," AM(CLR),FW",32(3),2890,17,5,2,-,3.1,78.7,0.6,6,7.08
24,25,Thomas Partey,Arsenal,30," D(R),M(CR)",28(5),2487,3,-,5,-,0.8,88,1.1,1,7.06
25,26,Cody Gakpo,Liverpool,24," AM(CLR),FW",17(4),1465,7,2,-,-,1.9,78.4,1.2,-,7.06
26,27,Alexander Isak,Newcastle,24," AM(L),FW",17(5),1527,10,1,3,-,2.3,77.8,1,1,7.06
27,28,Alexis Mac Allister,Brighton,25," M(CL),FW",31(4),2886,10,2,8,-,2.5,87.2,0.7,4,7.05
28,29,Fabian Schär,Newcastle,32, D(C),36,3209,1,3,7,-,1.6,77.7,3.1,2,7.05
29,30,Declan Rice,West Ham,25," D(C),DMC",36(1),3272,4,2,5,-,1,88,1,1,7.02
30,31,Pierre-Emile Højbjerg,Tottenham,28, M(C),35,3133,4,5,5,-,0.9,88.6,0.8,3,7.02
31,32,Eberechi Eze,Crystal Palace,25, AM(CLR),30(8),2644,10,4,3,-,1.9,82.4,0.5,4,7.02
32,33,Riyad Mahrez,Man City,33," AM(CLR),FW",22(8),1924,5,10,2,-,1.4,86.8,0.3,2,7.01
