Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
30,Frederik Rønnow,796,Union Berlin,30, GK  ,29,2610,0,0.0,40.3,66.8,0.0,9.0,0.0,7.01,0,2,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0
38,Danilho Doekhi,796,Union Berlin,24, D(C)  ,25,2218,1,0.3,37.7,80.0,0.0,2.0,0.0,6.99,5,0,0,0.7,2.4,4,0.1,0.6,0.0,0.1,0.3,1.5,1.2,0.8,0.2,3.6,0.5,0.5,0
47,Sheraldo Becker,796,Union Berlin,28," AM(CLR),FW  ",33(1),2582,7,1.3,14.7,68.9,1.0,0.6,0.0,6.91,11,4,0,2.0,0.5,3,0.8,0.8,0.7,1.0,1.8,0.4,0.1,0.9,0.0,0.2,0.3,0.0,0
54,Robin Knoche,796,Union Berlin,31, D(C)  ,32,2874,3,0.2,50.9,81.3,0.2,4.6,0.0,6.87,2,4,0,0.3,1.8,1,0.3,0.7,0.0,0.2,0.5,1.4,1.2,0.4,0.4,4.3,0.7,0.6,0
66,Kevin Behrens,796,Union Berlin,32, FW  ,17(16),1536,1,0.6,14.2,59.6,0.1,0.3,0.1,6.83,8,6,0,1.1,5.4,4,0.4,0.8,0.4,0.6,1.4,0.3,0.2,1.1,0.0,0.7,0.4,0.1,0
85,Christopher Trimmel,796,Union Berlin,36," D(CR),M(R)  ",20(5),1811,6,1.4,25.3,66.8,1.7,1.2,0.0,6.77,0,1,0,0.6,0.9,0,0.3,0.3,0.0,0.3,0.5,1.2,1.0,0.7,0.1,1.8,0.4,0.0,0
127,Rani Khedira,796,Union Berlin,29," D(C),DMC  ",33,2887,0,0.2,31.1,75.4,0.2,1.4,0.0,6.66,2,8,0,0.7,1.3,1,0.3,0.4,0.0,0.5,0.8,1.8,1.2,1.6,0.0,0.9,0.8,0.3,0
137,Janik Haberer,796,Union Berlin,29," M(CLR),FW  ",30(2),2213,1,0.7,20.3,73.8,0.1,0.7,0.0,6.63,5,1,0,1.0,1.2,1,0.3,1.2,0.0,0.6,1.1,0.9,0.4,1.1,0.0,0.8,1.0,0.1,0
162,Diogo Leite,796,Union Berlin,24, D(C)  ,26(2),2254,1,0.1,48.3,78.6,0.1,3.9,0.0,6.58,0,6,1,0.4,2.5,0,0.0,1.1,0.0,0.4,0.7,1.3,0.9,1.6,0.1,3.5,0.5,0.5,0
173,Jordan Siebatcheu,796,Union Berlin,27, FW  ,16(15),1359,3,0.6,9.5,55.6,0.0,0.1,0.0,6.56,4,3,0,1.1,3.4,2,0.3,0.4,0.3,0.8,1.4,0.5,0.1,1.2,0.0,0.5,0.5,0.2,0
192,Niko Gießelmann,796,Union Berlin,31," D(CL),M(L)  ",14(12),1298,2,0.8,18.8,70.6,1.0,1.3,0.0,6.5,0,4,0,0.8,0.8,0,0.2,0.8,0.0,0.2,0.7,0.8,0.3,0.6,0.0,0.9,0.7,0.2,0
228,Paul Seguin,796,Union Berlin,28," D(R),DMC  ",4(16),677,3,0.5,15.3,70.3,0.4,0.6,0.2,6.41,1,4,0,0.8,0.7,0,0.4,0.2,0.0,0.3,0.4,0.9,0.3,0.7,0.0,0.4,0.5,0.0,0
267,Sven Michel,796,Union Berlin,32," AM(L),FW  ",2(19),480,1,0.3,7.7,60.2,0.1,0.2,0.0,6.28,3,2,0,0.8,1.2,0,0.1,0.2,0.2,0.3,1.0,0.4,0.0,0.6,0.0,0.2,0.2,0.0,0
269,Morten Thorsby,796,Union Berlin,27, M(CLR)  ,8(16),827,1,0.3,7.8,62.9,0.1,0.1,0.0,6.27,1,3,0,0.4,0.9,0,0.0,0.3,0.0,0.6,0.6,0.9,0.1,0.9,0.0,0.8,0.3,0.2,0
